Player,Pos,Identifier
Martin,SF,IND-Martin
McConnell,PG,IND-McConnell
McDermott,PF,IND-McDermott
Sabonis,PF,IND-Sabonis
Sampson,PF,IND-Sampson
Stanley,SG,IND-Stanley
Sumner,SG,IND-Sumner
Turner,C,IND-Turner
Warren,SF,IND-Warren
Batum,PF,LAC-Batum
Beverley,PG,LAC-Beverley
Coffey,SF,LAC-Coffey
Cousins,C,LAC-Cousins
Fitts,SF,LAC-Fitts
George,SF,LAC-George
Ibaka,C,LAC-Ibaka
Jackson,PG,LAC-Jackson
Kennard,SG,LAC-Kennard
Leonard,SG,LAC-Leonard
Mann,SG,LAC-Mann
Morris,PF,LAC-Morris
Oturu,C,LAC-Oturu
Patterson,C,LAC-Patterson
Rondo,PG,LAC-Rondo
Zubac,C,LAC-Zubac
Antetokounmpo,C,LAL-Antetokounmpo
Cacok,PF,LAL-Cacok
Caldwell-Pope,SF,LAL-Caldwell-Pope
Caruso,PG,LAL-Caruso
Davis,PF,LAL-Davis
Dudley,PF,LAL-Dudley
Gasol,C,LAL-Gasol
Harrell,C,LAL-Harrell
Horton-Tucker,SF,LAL-Horton-Tucker
James,PG,LAL-James
Kuzma,SF,LAL-Kuzma
Matthews,SG,LAL-Matthews
McKinnie,SF,LAL-McKinnie
McLemore,PG,LAL-McLemore
Morris,PF,LAL-Morris
Schröder,SG,LAL-Schröder
Allen,SG,MEM-Allen
Anderson,PF,MEM-Anderson
Bane,SF,MEM-Bane
Brooks,SF,MEM-Brooks
Clarke,PF,MEM-Clarke
Frazier,PG,MEM-Frazier
Jackson Jr.,C,MEM-Jackson Jr.
Jones,PG,MEM-Jones
Konchar,SG,MEM-Konchar
McDermott,SF,MEM-McDermott
Melton,SG,MEM-Melton
Morant,PG,MEM-Morant
Porter,PF,MEM-Porter
Tillie,C,MEM-Tillie
Tillman Sr.,PF,MEM-Tillman Sr.
Valanciunas,C,MEM-Valanciunas
Winslow,SF,MEM-Winslow
Achiuwa,C,MIA-Achiuwa
Adebayo,C,MIA-Adebayo
Ariza,PF,MIA-Ariza
Butler,SF,MIA-Butler
Dedmon,C,MIA-Dedmon
Dragic,PG,MIA-Dragic
Herro,SG,MIA-Herro
Iguodala,SF,MIA-Iguodala
Leonard,C,MIA-Leonard
Nunn,PG,MIA-Nunn
Okpala,PF,MIA-Okpala
Oladipo,SG,MIA-Oladipo
Robinson,SG,MIA-Robinson
Strus,SF,MIA-Strus
Vincent,PG,MIA-Vincent
Adams,PG,MIL-Adams
Antetokounmpo,PF,MIL-Antetokounmpo
Antetokounmpo,SF,MIL-Antetokounmpo
Connaughton,SF,MIL-Connaughton
Diakite,C,MIL-Diakite
DiVincenzo,SG,MIL-DiVincenzo
Forbes,SG,MIL-Forbes
Holiday,PG,MIL-Holiday
Lopez,C,MIL-Lopez
Merrill,SG,MIL-Merrill
Middleton,SF,MIL-Middleton
Nwora,PF,MIL-Nwora
Portis,C,MIL-Portis
Teague,PG,MIL-Teague
Toupane,SG,MIL-Toupane
Beasley,SG,MIN-Beasley
Culver,SF,MIN-Culver
Davis,C,MIN-Davis
Edwards,SF,MIN-Edwards
Hagans,SG,MIN-Hagans
Hernangomez,PF,MIN-Hernangomez
Layman,SF,MIN-Layman
McDaniels,PF,MIN-McDaniels
McLaughlin,PG,MIN-McLaughlin
Nowell,SG,MIN-Nowell
Okogie,SG,MIN-Okogie
Reid,C,MIN-Reid
Rubio,PG,MIN-Rubio
Russell,PG,MIN-Russell
Towns,C,MIN-Towns
Vanderbilt,PF,MIN-Vanderbilt
Adams,C,NOP-Adams
Alexander-Walker,SG,NOP-Alexander-Walker
Ball,PG,NOP-Ball
Bledsoe,SG,NOP-Bledsoe
Gabriel,PF,NOP-Gabriel
Hart,SF,NOP-Hart
Hayes,C,NOP-Hayes
Hernangomez,C,NOP-Hernangomez
Ingram,SF,NOP-Ingram
Lewis Jr.,PG,NOP-Lewis Jr.
Magnay,C,NOP-Magnay
Marshall,SF,NOP-Marshall
Nunnally,SG,NOP-Nunnally
Thomas,PG,NOP-Thomas
Williamson,PF,NOP-Williamson
Barrett,SG,NYK-Barrett
Bullock,SF,NYK-Bullock
Burks,SF,NYK-Burks
Gibson,C,NYK-Gibson
Harper,PG,NYK-Harper
Knox,SF,NYK-Knox
Noel,C,NYK-Noel
Ntilikina,SG,NYK-Ntilikina
Payton,PG,NYK-Payton
Pinson,SF,NYK-Pinson
Quickley,PG,NYK-Quickley
Randle,PF,NYK-Randle
Robinson,C,NYK-Robinson
Rose,PG,NYK-Rose
Toppin,PF,NYK-Toppin
Bazley,PF,OKC-Bazley
Brown,C,OKC-Brown
Brown,SG,OKC-Brown
Deck,C,OKC-Deck
Dort,SG,OKC-Dort
Gilgeous-Alexander,SF,OKC-Gilgeous-Alexander
Hall,SF,OKC-Hall
Hoard,SF,OKC-Hoard
Horford,C,OKC-Horford
Jackson,SF,OKC-Jackson
Jerome,SG,OKC-Jerome
Maledon,PG,OKC-Maledon
Miller,SG,OKC-Miller
Muscala,C,OKC-Muscala
Pokusevski,PF,OKC-Pokusevski
Robinson,PG,OKC-Robinson
Roby,PF,OKC-Roby
Williams,SF,OKC-Williams
Anthony,PG,ORL-Anthony
Bacon,SF,ORL-Bacon
Bamba,C,ORL-Bamba
Bone,PG,ORL-Bone
Cannady,PG,ORL-Cannady
Carter-Williams,PG,ORL-Carter-Williams
Ennis,SF,ORL-Ennis
Franks,PF,ORL-Franks
Fultz,PG,ORL-Fultz
